Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
129	129	3304	3217	3228	3256	3247	3264	3251	3327	3210	3180	47	1171	3200	3072	3182	000	000	0	0	000	
130	130	3304	3216	3228	3255	3247	3265	3250	3327	3210	3180	46	1182	3200	3072	3182	000	000	0	0	000	
131	131	3304	3217	3228	3256	3247	3264	3251	3327	3210	3180	47	1184	3200	3072	3183	000	000	0	0	000	
132	132	3304	3217	3228	3256	3247	3264	3251	3327	3211	3181	1073	1184	3200	3072	3183	000	000	0	0	000	
133	133	3304	3217	3228	3256	3247	3264	3251	3328	3211	3182	47	1183	3200	3072	3183	000	000	0	0	000	
134	134	3304	3217	3228	3257	3247	3264	3251	3327	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
135	135	3304	3217	3229	3256	3247	3264	3251	3328	3210	3182	47	1183	3200	3072	3183	000	000	0	0	000	
136	136	3303	3216	3228	3256	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3184	000	000	0	0	000	
137	137	3304	3218	3228	3256	3247	3265	3251	3328	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
138	138	3303	3216	3228	3256	3246	3264	3250	3327	3210	3180	46	1182	3200	3072	3183	000	000	0	0	000	
139	139	3303	3217	3228	3256	3247	3264	3251	3328	3211	3181	47	1183	3200	3072	3183	000	000	0	0	000	
140	140	3304	3217	3228	3256	3247	3265	3251	3328	3210	3182	47	1183	3200	3072	3183	000	000	0	0	000	
141	141	3304	3218	3228	3256	3247	3264	3251	3328	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
142	142	3303	3216	3228	3256	3247	3264	3250	3327	3210	3180	46	1183	3200	3072	3182	000	000	0	0	000	
143	143	3304	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
144	144	3304	3216	3228	3256	3247	3264	3251	3328	3211	3180	1072	1183	3200	3072	3183	000	000	0	0	000	
145	145	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	47	1184	3200	3072	3182	000	000	0	0	000	
146	146	3303	3216	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
147	147	3303	3216	3228	3256	3247	3264	3250	3328	3211	3180	47	1182	3200	3072	3182	000	000	0	0	000	
148	148	3304	3216	3229	3256	3247	3264	3251	3329	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
149	149	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	47	1171	3200	3072	3183	000	000	0	0	000	
150	150	3304	3218	3228	3256	3247	3264	3251	3328	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
151	151	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3184	000	000	0	0	000	
152	152	3304	3217	3228	3256	3247	3264	3251	3328	3211	3180	111	1183	3200	3072	3183	000	000	0	0	000	
153	153	3304	3217	3229	3256	3247	3265	3251	3328	3210	3182	111	1183	3200	3072	3183	000	000	0	0	000	
154	154	3304	3216	3228	3256	3247	3264	3251	3328	3210	3181	111	1183	3200	3072	3183	000	000	0	0	000	
155	155	3304	3216	3228	3256	3247	3264	3250	3327	3211	3180	111	1183	3200	3072	3183	000	000	0	0	000	
156	156	3303	3216	3227	3256	3247	3264	3250	3327	3210	3180	110	1183	3200	3072	3182	000	000	0	0	000	
157	157	3304	3216	3228	3256	3247	3264	3251	3327	3210	3181	1135	1183	3200	3072	3184	000	000	0	0	000	
158	158	3304	3217	3228	3256	3247	3264	3250	3327	3212	3180	111	1183	3200	3072	3184	000	000	0	0	000	
159	159	3304	3216	3228	3256	3247	3264	3250	3327	3210	3180	1087	1183	3200	3072	3182	000	000	0	0	000	
160	160	3304	3216	3228	3256	3247	3264	3250	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
161	161	3304	3217	3228	3256	3247	3264	3250	3328	3211	3180	47	1182	3200	3072	3183	000	000	0	0	000	
162	162	3304	3216	3228	3256	3247	3266	3251	3328	3210	3182	111	1183	3200	3072	3183	000	000	0	0	000	
163	163	3304	3216	3229	3256	3247	3264	3251	3327	3210	3181	111	1183	3200	3072	3183	000	000	0	0	000	
164	164	3304	3217	3228	3256	3247	3265	3251	3327	3211	3180	111	1183	3200	3072	3184	000	000	0	0	000	
165	165	3304	3217	3228	3257	3248	3265	3251	3328	3210	3182	111	1183	3200	3072	3183	000	000	0	0	000	
166	166	3303	3216	3229	3256	3247	3264	3251	3327	3215	3180	47	1183	3200	3072	3184	000	000	0	0	000	
167	167	3304	3216	3228	3256	3247	3265	3254	3328	3210	3180	47	1183	3200	3072	3184	000	000	0	0	000	
168	168	3304	3216	3228	3257	3247	3264	3250	3328	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
169	169	3304	3216	3228	3256	3247	3264	3250	3327	3210	3180	47	1184	3200	3072	3182	000	000	0	0	000	
170	170	3304	3216	3228	3255	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
171	171	3304	3217	3229	3256	3248	3265	3251	3328	3211	3181	47	1184	3200	3072	3183	000	000	0	0	000	
172	172	3304	3217	3228	3256	3247	3267	3251	3328	3211	3181	47	1183	3200	3072	3184	000	000	0	0	000	
173	173	3304	3216	3228	3256	3247	3265	3251	3327	3210	3181	47	1183	3200	3072	3182	000	000	0	0	000	
