Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
269	269	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	000	
270	270	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	000	
271	271	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	000	
272	272	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	000	
273	273	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	1	000	
274	274	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	000	
275	275	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	000	
276	276	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	000	
277	277	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	000	
278	278	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	000	
279	279	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	000	
280	280	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	000	
281	281	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
282	282	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	000	
283	283	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	000	
284	284	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
285	285	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
286	286	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	000	
287	287	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	000	
288	288	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	000	
289	289	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
290	290	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
291	291	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	000	
292	292	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	000	
293	293	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	000	
294	294	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	000	
295	295	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	000	
296	296	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
297	297	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
298	298	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	000	
